"Data Source","Показатели мирового развития",

"Last Updated Date","2019-09-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Российская Федерация","RUS","Чистая миграция","SM.POP.NETM","","","-1387844","","","","","-549722","","","","","-296861","","","","","614394","","","","","1100559","","","","","890253","","","","","2490121","","","","","2374657","","","","","1778101","","","","","2326672","","","","","1800600","","","","","912279","",
"Российская Федерация","RUS","Безработица, общая (в % от всей рабочей силы)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.07000017166138","5.18100023269653","5.88299989700317","8.13099956512451","9.44900035858154","9.66499996185303","11.8129997253418","13.2609996795654","13.03600025177","10.581000328064","8.97799968719482","7.875","8.21000003814697","7.76300001144409","7.12400007247925","7.05499982833862","6.0019998550415","6.20499992370605","8.30099964141846","7.36899995803833","6.53599977493286","5.43599987030029","5.45800018310547","5.15999984741211","5.57100009918213","5.55900001525879","5.21199989318848","4.74399995803833",
"Российская Федерация","RUS","Индекс численности бедных при национальной черте бедности (в % населения)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","24.6","20.3","17.6","17.8","15.2","13.3","13.4","13","12.5","12.7","10.7","10.8","11.2","13.3","13.3","13.2","12.9",
"Российская Федерация","RUS","Индекс Джини","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.4","","","46.1","38.4","38.1","37.4","37.1","36.9","37.3","40","40.3","41.3","41","42.3","41.6","39.8","39.5","39.7","40.7","40.9","39.9","37.7","","","",
"Российская Федерация","RUS","Индекс численности бедных при черте 1,90 долл. США в день (ППС) (в % населения)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.4","","","3.6","1.1","1.7","3.4","2.2","1.3","0.7","0.8","0.7","0.5","0.3","0.1","0.1","0","0.1","0","0","0","0","0","","","",
"Российская Федерация","RUS","Доля доходов нижних 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.4","","","4.5","6.3","6.2","6.3","6.4","6.6","6.6","6.1","6","5.8","5.9","5.8","6.1","6.4","6.4","6.5","6.3","6.4","6.6","6.9","","","",
"Российская Федерация","RUS","Уровень недоедания, вес для возрастной категории (в % детей в возрасте до пяти лет)","SH.STA.MALN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Российская Федерация","RUS","Родовспоможения квалифицированным медицинским персоналом (в % от общего числа)","SH.STA.BRTC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.2","99.2","99.2","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.2","99.3","99.3","99.4","99.3","99.4","99.5","99.6","99.6","99.7","99.7","98.7","99.7","99.7","99.7","","","","",
"Российская Федерация","RUS","Иммунизация, корь (в % детей в возрасте от 12 до 23 месяцев)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83","88","81","85","88","91","94","97","97","97","98","98","98","99","99","99","99","98","98","98","98","98","98","98","98","98","98",
"Российская Федерация","RUS","Коэффициент детской смертности в возрасте до пяти лет (на 1000 живорожденных)","SH.DYN.MORT","","","","","","","","","","","38.2","36.6","35","33.5","32.2","31.1","30.2","29.4","28.8","28.2","27.6","27.1","26.6","26.1","25.5","24.9","24.2","23.4","22.6","22","21.6","21.5","21.6","21.8","21.9","21.8","21.5","21.2","20.7","20.1","19.3","18.3","17.2","16","14.8","13.7","12.8","11.9","11.2","10.7","10.3","10.1","9.8","9.5","9","8.5","8","7.6","7.2",
"Российская Федерация","RUS","Коэффициент распространенности ВИЧ, общий (в % населения в возрасте от 15 до 49 лет)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Российская Федерация","RUS","Государственные расходы на образование, совокупные (в % ВВП)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.93981003761292","3.10601997375488","3.8390200138092","3.67853999137878","3.54786992073059","3.77192997932434","3.86626005172729","","4.10174989700317","","","","3.78973007202148","","","3.82025003433228","","","",
"Российская Федерация","RUS","Коэффициент зачисления в средние учебные заведения (в % от всех зачисленных)","SE.SEC.ENRR","","","","","","","","","","","","92.8627166748047","","","","","96.2741165161133","","","","","97.9592895507813","","","","","100.023902893066","100.224311828613","99.9813003540039","98.5925827026367","97.6154403686523","96.1306686401367","94.2120208740234","91.9961624145508","90.6954574584961","91.0689163208008","91.4106597900391","91.2535400390625","92.0509033203125","92.3803863525391","","","","91.5306091308594","85.343017578125","82.9419708251953","82.7454223632813","83.0528564453125","83.2848510742188","84.9694595336914","","92.0496520996094","96.1611328125","98.7996673583984","100.532867431641","104.39720916748","104.80770111084","","",
"Российская Федерация","RUS","Коэффициент зачисления в начальные учебные заведения (в % от всех зачисленных)","SE.PRM.ENRR","","","","","","","","","","","","104.640922546387","101.474113464355","99.9852981567383","99.0155487060547","98.9689025878906","99.9916763305664","101.930557250977","104.316513061523","105.751190185547","105.854637145996","103.056449890137","102.523468017578","101.811546325684","102.223930358887","103.714477539063","104.925437927246","107.56713104248","108.518898010254","107.918792724609","107.924697875977","110.291893005371","110.400382995605","109.440330505371","107.128189086914","107.811279296875","108.416328430176","106.26685333252","103.709167480469","102.925773620605","102.786682128906","106.092903137207","113.966400146484","121.085838317871","","95.2710418701172","95.0487594604492","95.706901550293","97.5375137329102","99.2288513183594","","100.927772521973","101.194221496582","100.26643371582","98.6529312133789","100.681777954102","102.076332092285","","",
"Российская Федерация","RUS","Коэффициент завершенного начального образования, общий (в % населения соответствующей возрастной группы)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.0352096557617","92.0879669189453","","","","90.2416305541992","90.4328689575195","92.2767181396484","","","","","","90.7307510375977","93.3153762817383","98.2965393066406","","96.9103622436523","97.9548110961914","100.493148803711","100.397827148438","101.217247009277","97.8765869140625","","",
"Российская Федерация","RUS","Соотношение девочек и мальчиков в начальной и средней школе (в %)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.01507997512817","","","","","","","","","0.99931001663208","","0.993110001087189","0.991209983825684","0.988070011138916","0.985140025615692","0.990779995918274","","0.991919994354248","0.991630017757416","0.993070006370544","0.990239977836609","0.990409970283508","0.993070006370544","","",
"Российская Федерация","RUS","Уровень грамотности, общий взрослого населения (в % населения в возрасте от пятнадцати лет и старше)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.9860534667969","","","","","","","","","","","","","99.4409713745117","","","","","","","","99.6842727661133","","","","","","","","",
"Российская Федерация","RUS","ВНД на душу населения, ППС (в текущих международных долларах)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7990","7820","6790","6350","5710","5570","5440","5580","5230","5680","6650","7260","7880","8970","10010","11540","14480","16280","19600","18760","19860","23590","25000","25330","24900","23400","23410","25080","26470",
"Российская Федерация","RUS","ВНД на душу населения, метод «Атлас» (в текущих долларах США)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3440","3080","2920","2650","2640","2600","2650","2130","1750","1710","1780","2100","2590","3410","4450","5810","7560","9580","9230","9980","11070","13480","15210","14650","11770","9750","9230","10230",
"Российская Федерация","RUS","ВНД, ППС (в текущих международных долларах)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1185499984952.64","1162876049776.22","1009370507637.28","943265770983.622","847068955685.16","825774532786.837","806188098250.186","825014123129.648","771913154282.21","836383725949.028","974629347999.371","1059732532867.18","1145642785078.87","1297685806670.6","1441505984835.48","1655585941894.52","2071121854636.68","2324721058626.26","2797649362802.82","2678612246973.08","2836588884248.56","3373072144878.87","3579360949693.82","3635166063636.87","3637938277083.81","3425169707911.52","3433083740516.52","3682841546246.9","3949825983067.01",
"Российская Федерация","RUS","ВНД, метод «Атлас» (в текущих долларах США)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","510749676619.835","458309304013.994","433096140707.009","393237319280.147","392144555903.959","385879877366.037","391429217789.632","314756842778.829","258145931660.388","250287501472.868","259632878911.934","305720879877.113","373993265549.168","490862053321","638631982987.725","830471326806.393","1079920059317.21","1367974189288.97","1318479474182.64","1425184275218.91","1582624168561.59","1929731181477.48","2182084808808.03","2140101323664.69","1722910977217.61","1429803425469.22","1354640420555.58","1501659092519.94",
